Designator,Mid X,Mid Y,Rotation,Layer
C1,99.0,-55.65,90.0,top
C2,97.1,-55.625,90.0,top
C3,118.0,-55.0,90.0,top
C4,116.0,-55.0,270.0,top
C5,79.1,-55.35,90.0,top
C6,77.2,-55.325,90.0,top
C7,100.5,-98.75,270.0,top
C8,102.5,-98.775,270.0,top
J1,87.5,-45.0,0.0,top
J10,68.0,-45.0,0.0,top
J11,59.5625,-111.205,0.0,top
J2,50.05,-90.375,270.0,top
J3,50.05,-99.825,270.0,top
J4,116.9,-92.65,90.0,top
J5,53.3,-78.2,270.0,top
J6,116.9,-81.0,90.0,top
J7,116.85,-68.5,90.0,top
J8,53.4,-63.5,270.0,top
J9,107.0,-45.0,0.0,top
TP1,69.85,-103.25,0.0,top
TP2,106.4,-96.45,0.0,top
TP3,102.6,-77.5,0.0,top
TP4,119.25,-103.15,0.0,top
U1,86.11,-88.89,0.0,top
U2,89.455,-55.25,0.0,top
U3,108.945,-55.25,0.0,top
U4,69.855,-55.25,0.0,top
